id,split,uci_row_number,text,label,char_count,token_count,avg_token_length,digit_count,digit_ratio,uppercase_ratio,exclamation_count,currency_count,has_url,has_phone,promo_token_count,row_position,has_currency,has_promo,over_160_chars
T0001,train,1,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,111.0,20.0,4.15,0.0,0.0,0.03614457831325301,0.0,0.0,0.0,0.0,0.0,0.0001794043774668102,0.0,0.0,0.0
T0002,train,2,Ok lar... Joking wif u oni...,ham,29.0,6.0,3.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0003588087549336204,0.0,0.0,0.0
T0003,train,3,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,155.0,33.0,3.696969696969697,25.0,0.16129032258064516,0.10309278350515463,0.0,0.0,0.0,1.0,4.0,0.0005382131324004305,0.0,1.0,0.0
T0004,train,4,U dun say so early hor... U c already then say...,ham,49.0,11.0,3.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0007176175098672408,0.0,0.0,0.0
T0005,train,5,"Nah I don't think he goes to usf, he lives around here though",ham,61.0,14.0,3.357142857142857,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.000897021887334051,0.0,0.0,0.0
T0006,train,6,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",spam,147.0,36.0,2.9722222222222223,4.0,0.027210884353741496,0.06796116504854369,2.0,1.0,0.0,0.0,0.0,0.001076426264800861,1.0,0.0,0.0
T0007,train,7,Even my brother is not like to speak with me. They treat me like aids patent.,ham,77.0,16.0,3.75,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0012558306422676714,0.0,0.0,0.0
T0008,train,8,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,160.0,26.0,4.961538461538462,1.0,0.00625,0.078125,0.0,0.0,0.0,0.0,0.0,0.0014352350197344816,0.0,0.0,0.0
T0009,train,9,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,157.0,26.0,4.8076923076923075,19.0,0.12101910828025478,0.11320754716981132,3.0,1.0,0.0,1.0,5.0,0.0016146393972012918,1.0,1.0,0.0
T0010,train,10,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,154.0,29.0,4.275862068965517,13.0,0.08441558441558442,0.12612612612612611,1.0,0.0,0.0,1.0,3.0,0.001794043774668102,0.0,1.0,0.0
T0011,train,11,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham,109.0,24.0,3.4583333333333335,0.0,0.0,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.001973448152134912,0.0,0.0,0.0
T0012,train,12,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam,136.0,28.0,3.6785714285714284,22.0,0.16176470588235295,0.20987654320987653,1.0,1.0,0.0,0.0,4.0,0.002152852529601722,1.0,1.0,0.0
