id_1,id_2,split_1,split_2,label_1,label_2,word_similarity,char_similarity,primary_similarity,similarity_basis,meets_protocol_threshold,is_cross_split,has_label_conflict,text_1,text_2
T1064,T3102,train,train,spam,spam,0.9999999999999993,1.0000000000000013,1.0000000000000013,character,True,False,False,"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!","Win the newest Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
T1013,H0470,train,heldout,spam,spam,1.0000000000000004,0.9091207850412337,1.0000000000000004,word,True,True,False,Please CALL 08712402779 immediately as there is an urgent message waiting for you,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
H0470,T2733,heldout,train,spam,spam,1.0000000000000004,0.9424970518085043,1.0000000000000004,word,True,True,False,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,Please CALL 08712402972 immediately as there is an urgent message waiting for you
H0470,T3460,heldout,train,spam,spam,1.0000000000000004,0.8939073195729488,1.0000000000000004,word,True,True,False,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,Please CALL 08712402578 immediately as there is an urgent message waiting for you
H0644,T2769,heldout,train,spam,spam,1.0000000000000004,0.9790423345886634,1.0000000000000004,word,True,True,False,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
H0644,T3805,heldout,train,spam,spam,1.0000000000000004,0.9790423345886634,1.0000000000000004,word,True,True,False,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
H0644,T4291,heldout,train,spam,spam,1.0000000000000004,0.9790423345886634,1.0000000000000004,word,True,True,False,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
T1013,T2733,train,train,spam,spam,1.0000000000000004,0.9174772449664781,1.0000000000000004,word,True,False,False,Please CALL 08712402779 immediately as there is an urgent message waiting for you,Please CALL 08712402972 immediately as there is an urgent message waiting for you
T1013,T3460,train,train,spam,spam,1.0000000000000004,0.9182296681047646,1.0000000000000004,word,True,False,False,Please CALL 08712402779 immediately as there is an urgent message waiting for you,Please CALL 08712402578 immediately as there is an urgent message waiting for you
T2733,T3460,train,train,spam,spam,1.0000000000000004,0.9021239403078437,1.0000000000000004,word,True,False,False,Please CALL 08712402972 immediately as there is an urgent message waiting for you,Please CALL 08712402578 immediately as there is an urgent message waiting for you
